id;identifier;birth_date;gender;phone_number;address;note
1;catch excitedly jot;2025-06-23;FEMALE;which strident mmm;drat muscat;frightfully
2;against;2025-06-23;MALE;as flashy;indeed with alongside;sticker catalog statement
3;yawningly trolley readily;2025-06-23;FEMALE;steeple yak;tough;unbearably
4;hopelessly even colorful;2025-06-23;FEMALE;skeleton;crazy whoa priesthood;aw
5;deliberately;2025-06-23;FEMALE;scar ack;huzzah foolhardy adjudge;bracelet goodwill
6;commodity;2025-06-23;FEMALE;but neatly;ick publicize;afterwards for
7;enormously hepatitis;2025-06-23;MALE;bah receptor;e-mail repeatedly troubled;yum step-mother energetically
8;entwine voluntarily;2025-06-23;MALE;eek unlike;boo institute;hairy near deceivingly
9;excitedly infamous;2025-06-23;FEMALE;round;apud;weird
10;emerge;2025-06-24;MALE;woot oh swim;mundane until;than midst
